t,G,I,wall_time_sec
0.0,81.14,5.671,4.021999984615832e-06
0.25,201.71381815917852,7.09990731829112,0.0005518099999903825
0.5,286.7217075762888,10.686853803873527,0.0011579559999859157
0.75,221.12965782788274,13.990481959680057,0.0014978679999444466
1.0,162.05457328126397,15.42870490404964,0.0019353229999978794
1.25,119.91774998852966,15.566847563987444,0.0022682549999899493
1.5,92.33203791099263,14.919078594961132,0.002596271999948385
1.75,75.15602962754741,13.857266385026758,0.0029631580000000213
2.0,64.91641509726671,12.622008913249665,0.0032941299999720286
2.25,59.20684204244768,11.359854386078245,0.003623178999987431
2.5,56.47201958138872,10.156329577970471,0.003979799999967781
2.75,55.723716105109204,9.058928730494781,0.004319405999979153
3.0,56.32550814145322,8.091719392407251,0.004693859999974848
3.25,57.852551831884654,7.264280258812839,0.005060465999974895
3.5,60.00562709689915,6.577097777104112,0.005386710999971456
3.75,62.56017571341164,6.024826687338575,0.005713547999960156
4.0,65.3371581550484,5.598290494230283,0.006074861999991299
4.25,68.18748112879811,5.285758563467365,0.006410312999946655
4.5,70.98485231955917,5.073826577815901,0.006738850999965962
4.75,73.62368438012874,4.948095195675615,0.007103465000000142
5.0,76.01964959320148,4.893755175416016,0.007514309999976376
5.25,78.11109054042797,4.896127968028517,0.007885809999947924
5.5,79.85997547063553,4.941170371244705,0.008237160999954085
5.75,81.25156909627023,5.01592693106262,0.008609983999974702
6.0,82.29248259981036,5.108902804462994,0.008992522999960784
6.25,83.00721645919549,5.210330808692176,0.009326759999964906
6.5,83.43364354371923,5.312316143130839,0.009664504999989276
6.75,83.61804865932304,5.408856507321353,0.01002474599999914
7.0,83.6103409558288,5.495749694876676,0.01035857199997281
7.25,83.45992715189426,5.570411821143605,0.010686557999974866
7.5,83.21253928129461,5.631635351227491,0.01104976499999566
7.75,82.90811230891116,5.6793168917233965,0.011379607999970176
8.0,82.57964778458782,5.714181360722608,0.011706903999993301
8.25,82.25289887087455,5.737523289510281,0.012074669999947218
8.5,81.94666847409623,5.750979258786035,0.012476204999984475
8.75,81.67351270025881,5.756339083138948,0.012847287999989021
9.0,81.4406695024259,5.755398081194335,0.013181010999971932
9.25,81.25107201228765,5.74984890070313,0.013576433999958226
9.5,81.10434682061543,5.74120887574978,0.013946279999970557
9.75,80.99773317516444,5.730777560141752,0.014343896999946537
10.0,80.92688717324562,5.719618621014205,0.01473320299999159
10.25,80.88655540558476,5.708560411024213,0.015106284999944819
10.5,80.8711162638777,5.69821003369775,0.015443557999958557
10.75,80.87499578258583,5.688976400417025,0.01577363499995954
11.0,80.89296991214685,5.681098529891824,0.016137614999991
11.25,80.92036770404773,5.67467608649812,0.016503937999971185
11.5,80.9531908881357,5.669699849129138,0.016871969999954217
11.75,80.98816531017947,5.666080424726978,0.01720700699996769
12.0,81.02273902875882,5.6636740608335305,0.01753731699994887
