t,G,I,wall_time
0.0,81.14,5.671,0.00572514533996582
0.25,201.71178622979107,7.100006426139156,0.00572514533996582
0.5,274.31207997035966,10.677370433176083,0.00572514533996582
0.75,208.52522166322223,13.656877928226981,0.00572514533996582
1.0,155.01096627458443,14.91728438948993,0.00572514533996582
1.25,116.58023821891,15.005044446945167,0.00572514533996582
1.5,91.21090716757443,14.380893455635007,0.00572514533996582
1.75,75.22126237730274,13.373177642451926,0.00572514533996582
2.0,65.35892598190185,12.167408723299939,0.00572514533996582
2.25,59.98573123682674,10.971986568597591,0.00572514533996582
2.5,57.49355818711931,9.84600184702629,0.00572514533996582
2.75,56.78799162795302,8.749804836719791,0.00572514533996582
3.0,57.41065297007814,7.778022608425233,0.00572514533996582
3.25,59.06723971928777,7.0139800931622,0.00572514533996582
3.5,61.27835853680521,6.384606087820595,0.00572514533996582
3.75,63.82766029836809,5.8834420831045335,0.00572514533996582
4.0,66.5614435084705,5.501873472990165,0.00572514533996582
4.25,69.33827011555651,5.228835405388486,0.00572514533996582
4.5,72.03117073384541,5.048795479289886,0.00572514533996582
4.75,74.54030864481601,4.94703588279878,0.00572514533996582
5.0,76.7908597784693,4.9103488009884355,0.00572514533996582
5.25,78.73023026302525,4.926713175683221,0.00572514533996582
5.5,80.32730241624057,4.9816832761058985,0.00572514533996582
5.75,81.58003302602515,5.060855844947007,0.00572514533996582
6.0,82.50006872614378,5.153218690257158,0.00572514533996582
6.25,83.11183933469641,5.251215991283032,0.00572514533996582
6.5,83.4499474986302,5.349710083194036,0.00572514533996582
6.75,83.56140735136559,5.441956040693509,0.00572514533996582
7.0,83.50468042894079,5.523443424063886,0.00572514533996582
7.25,83.32933380556098,5.591754264604163,0.00572514533996582
7.5,83.07519588303902,5.646447332453866,0.00572514533996582
7.75,82.77197411911405,5.688849839151974,0.00572514533996582
8.0,82.44241772428713,5.718830613623379,0.00572514533996582
8.25,82.12005362139315,5.737985629181537,0.00572514533996582
8.5,81.83056167951214,5.7485302708695265,0.00572514533996582
8.75,81.58760267681463,5.752348497518401,0.00572514533996582
9.0,81.39281830056176,5.750992841747193,0.00572514533996582
9.25,81.23583114710522,5.745684409962909,0.00572514533996582
9.5,81.10184535014895,5.737255955901156,0.00572514533996582
9.75,81.00532641933107,5.726648132826002,0.00572514533996582
10.0,80.94232790390875,5.715500764805707,0.00572514533996582
10.25,80.90609531619818,5.7050192509150595,0.00572514533996582
10.5,80.89089453224271,5.695885337176368,0.00572514533996582
10.75,80.89201179181278,5.68825711655947,0.00572514533996582
11.0,80.9057536984059,5.681769028981728,0.00572514533996582
11.25,80.92929740479934,5.675724593728005,0.00572514533996582
11.5,80.95889935496054,5.6707887374011845,0.00572514533996582
11.75,80.991093501651,5.667132540580758,0.00572514533996582
12.0,81.02340850664548,5.664637833895764,0.00572514533996582
